Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","2","Afghanistan","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.71","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.87","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","202","Afrique du Sud","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","102.94","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","14.85","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","3","Albanie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","36.25","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.94","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","4","Algérie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","20.33","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","2.28","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","79","Allemagne","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","48.64","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","7.26","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","7","Angola","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","47.48","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","5.84","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","8","Antigua-et-Barbuda","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","161.16","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","19","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","194","Arabie saoudite","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","134.39","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","17.43","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","9","Argentine","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","105.92","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","12.38","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","1","Arménie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","36.58","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.51","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","10","Australie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","126.37","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","16.06","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","11","Autriche","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","50.98","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","7.67","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","52","Azerbaïdjan","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","28.82","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","3.56","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","12","Bahamas","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","125.3","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","15.78","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","16","Bangladesh","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","3.84","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.44","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","14","Barbade","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","116.77","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","14.19","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","57","Bélarus","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","85.73","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","10.56","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","255","Belgique","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","33.42","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.36","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","23","Belize","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","77.57","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","9.13","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","53","Bénin","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","53.82","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.97","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","17","Bermudes","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","89.38","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","17","Bermudes","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","12.1","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","19","Bolivie (État plurinational de)","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","94.01","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","10.91","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","80","Bosnie-Herzégovine","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","36.09","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.48","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","20","Botswana","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","14.61","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","1.9","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","21","Brésil","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","123.29","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","14.56","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","26","Brunéi Darussalam","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","172.26","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","26","Brunéi Darussalam","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","21.36","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","27","Bulgarie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","56.66","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","8.09","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","233","Burkina Faso","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.19","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.76","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","35","Cabo Verde","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","51.93","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.62","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","115","Cambodge","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","5.04","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.56","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","32","Cameroun","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","9.02","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","1.11","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","33","Canada","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","100.49","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","13.08","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","40","Chili","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","100.05","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","12.36","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","96","Chine - RAS de Hong-Kong","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","150.29","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","96","Chine - RAS de Hong-Kong","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","19.58","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","128","Chine - RAS de Macao","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","99.34","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","128","Chine - RAS de Macao","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","12.04","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","41","Chine, continentale","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","36.15","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","41","Chine, continentale","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.26","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","214","Chine, Taiwan Province de","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","88.03","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","214","Chine, Taiwan Province de","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","10.69","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","50","Chypre","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","66.99","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","8.91","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","44","Colombie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","75.52","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","8.23","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","46","Congo","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","35.66","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","4.51","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","48","Costa Rica","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","67.04","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","7.32","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","107","Côte d'Ivoire","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.57","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.81","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","98","Croatie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","23.35","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","3.02","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","49","Cuba","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","55.22","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.13","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","54","Danemark","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","73.28","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","10.64","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","72","Djibouti","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","5.63","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.69","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","55","Dominique","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","85.49","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","10.2","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","59","Égypte","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","39.55","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","5.04","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","60","El Salvador","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","54.35","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","5.91","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","225","Émirats arabes unis","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","112.45","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","13.85","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","58","Équateur","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","59.85","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.96","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","203","Espagne","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","78.42","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","11.7","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","63","Estonie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","57.85","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","7.14","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","231","États-Unis d'Amérique","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","137.02","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","17.94","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","238","Éthiopie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","1.8","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","238","Éthiopie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","0.22","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","185","Fédération de Russie","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","75.35","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","185","Fédération de Russie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","9.27","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","66","Fidji","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","55.51","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","66","Fidji","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","6.82","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","67","Finlande","646","Disponibilité alimentaire en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","54.45","Fc","Donnée calculée"
"CL","Disponibilité alimentaire - Elevage et pêche Equivalent primaire","67","Finlande","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2013","2013","g/personne/jour","8.19","Fc","Donnée calculée"
